Trip_ID,TransactionMonth,Destination,Start_date,End_date,Number_of_travelers,Client_ID,Client_age_range,Client_gender,Referral_source,Client_credit_card,Client_nationality,Client_age,Client_rank,Time_of_first_call,Accommodation_type,Transportation_cost,Accommodation_cost,Tours_cost,Insurance_cost,Agency_fee,Agency_hours,On_call_hours,Associates_involved,Internal_service_failures
1715,2024-09,Bangkok ( Thailand,2024-10-15,2024-10-18,2.0,3111.0,51+,M,Social Media,MasterCard,Italy,55.0,frequent,Evening,Budget,1151.17,525.0,126.91,64.91,656.07,10.4,6.65,,
1716,2023-10,"Reykjavik, Iceland",2024-01-09,2024-01-18,4.0,2782.0,51+,F,Search Engine,Visa,Switzerland,67.0,na,Morning,Standard,,6912.0,113.11,100.0,767.66,14.07,11.2,0.0,
1717,2025-11,"Cape Town, South Africa",2026-01-01,2026-01-15,1.0,2397.0,51+,F,Online Ad,Amex,Argentina,66.0,na,Evening,Standard,671.49,2352.0,148.01,100.0,726.12,13.26,6.78,,
1718,2021-11,"Rome, Italy",2022-01-12,2022-01-17,1.0,4819.0,36-50,F,,Visa,Morocco,50.0,na,Afternoon,Luxury,510.07,2775.0,146.06,100.0,770.75,9.56,3.18,1.0,0.0
1719,2021-11,"Cape Town, South Africa",2022-02-18,2022-02-26,4.0,1771.0,36-50,F,Search Engine,,Italy,41.0,Frequent Traveler,Evening,Budget,1956.97,2240.0,104.45,100.0,1126.2,16.17,9.65,1.0,1.0
1720,2022-10,"Tokyo, Japan",2023-03-21,2023-04-04,3.0,3246.0,51+,M,Friend/Family,MasterCard,Portugal,59.0,Frequent Traveler,,Luxury,1953.65,21420.0,156.62,100.0,815.0,12.44,8.43,0.0,0.0
1721,2021-09,"Rome, Italy",2021-11-27,2021-12-02,,3287.0,36-50,F,Friend/Family,,Poland,41.0,frequent,Afternoon,Budget,706.81,925.0,87.74,64.39,858.78,8.24,3.2,0.0,0.0
1722,2024-05,"Rome, Italy",2024-09-05,2024-09-17,3.0,,18-25,M,,MasterCard,Cuba,18.0,na,Evening,Standard,1137.12,7992.0,119.19,100.0,864.14,7.37,2.19,0.0,0.0
1723,2021-10,"Paris, France",2022-02-16,2022-03-01,2.0,1075.0,51+,M,Friend/Family,Amex,China,,frequent,,Budget,901.78,2470.0,104.19,100.0,778.98,9.43,,1.0,
1724,2022-03,"Tokyo, Japan",2022-05-05,2022-05-14,1.0,3877.0,26-35,M,Online Ad,Amex,Mexico,35.0,V.I.P.,Morning,,648.79,1836.0,105.93,100.0,860.43,8.22,3.12,0.0,
1725,2021-05,"Reykjavik, Iceland",2021-07-17,2021-07-22,2.0,1038.0,51+,M,Search Engine,Discover,Japan,,frequent,Morning,Standard,1529.99,1920.0,98.63,100.0,951.28,13.87,,,
1726,2021-09,"Marrakech, Morocco",12/15/2021,2021-12-22,3.0,,36-50,M,Other,Discover,Venezuela,45.0,Frequent,Evening,Standard,1695.19,3402.0,118.11,100.0,1122.47,14.04,7.66,0.0,0.0
1727,2021-02,"Tokyo, Japan",05/14/2021,2021-05-26,2.0,9.0,36-50,M,,,France,36.0,na,Morning,,1017.43,4896.0,113.62,100.0,987.5,10.21,4.95,0.0,
1728,2025-04,"Bangkok, Thailand",2025-07-31,2025-08-13,1.0,4105.0,18-25,F,Friend/Family,MasterCard,France,22.0,frequent,Morning,Luxury,604.63,6825.0,140.92,100.0,909.6,7.54,1.96,,0.0
1729,2022-05,"Rome, Italy",2022-07-23,2022-07-31,,2045.0,51+,M,Online Ad,,USA,68.0,frequent,Morning,Standard,4039.38,12432.0,115.84,100.0,,20.66,17.65,2.0,0.0
1730,2024-11,"Paris, France",2025-01-15,2025-01-22,2.0,3690.0,36-50,M,Friend/Family,Visa,Spain,43.0,vip,,Luxury,1226.44,7980.0,157.45,100.0,627.86,6.91,2.56,,0.0
1731,2025-02,"Tokyo, Japan",2025-03-18,2025-03-21,5.0,2860.0,51+,M,Other,Discover,Mexico,52.0,na,Evening,Standard,2740.96,3060.0,126.37,100.0,680.1,16.66,,,0.0
1732,2022-08,"Tokyo, Japan",2022-11-23,2022-11-26,2.0,2534.0,18-25,M,Friend/Family,Visa,Brazil,22.0,Frequent Traveler,Morning,,1061.57,510.0,87.73,52.8,1119.61,9.87,3.34,,0.0
1733,2023-08,"Tokyo, Japan",2024-01-10,2024-01-16,1.0,3858.0,,F,Online Ad,MasterCard,UK,65.0,Frequent Traveler,Evening,Budget,489.52,510.0,74.38,57.29,751.27,11.19,4.72,1.0,0.0
1734,2025-06,"Tokyo, Japan",10/08/2025,2025-10-21,4.0,1655.0,51+,M,Friend/Family,MasterCard,Japan,52.0,frequent,Evening,Standard,2478.88,10608.0,96.33,100.0,635.5,13.91,9.27,,
1735,2024-01,"Tokyo, Japan",2024-03-17,2024-03-30,1.0,,26-35,F,Friend/Family,Discover,Romania,30.0,V.I.P.,Afternoon,,508.0,2652.0,150.35,100.0,1009.15,8.99,,1.0,0.0
1736,2025-11,"Cape Town, South Africa",2025-12-13,2025-12-26,,3062.0,18-25,M,,MasterCard,Germany,22.0,frequent,Afternoon,Luxury,1961.65,16380.0,161.91,100.0,969.1,14.12,,,
1737,2024-05,"New Delhi, India",2024-10-27,2024-11-08,1.0,1913.0,36-50,M,Online Ad,MasterCard,Vietnam,39.0,na,Afternoon,Budget,662.99,840.0,99.63,44.92,881.7,12.47,,,0.0
1738,2022-12,"Tokyo, Japan",2023-01-05,2023-01-19,2.0,4879.0,26-35,F,Online Ad,MasterCard,Panama,31.0,na,Morning,Budget,1306.62,2380.0,108.36,100.0,1061.66,8.97,5.08,,0.0
1739,2023-04,"Tokyo, Japan",2023-08-22,2023-08-30,3.0,2646.0,51+,F,Online Ad,MasterCard,South Korea,68.0,frequent,Evening,Standard,2314.17,4896.0,116.22,100.0,777.92,12.66,,1.0,
1740,2021-01,"Paris, France",2021-04-04,2021-04-17,1.0,,36-50,M,,Visa,USA,,na,Evening,Standard,531.22,2964.0,113.97,100.0,,7.08,,1.0,1.0
1741,2025-03,"Bangkok, Thailand",2025-06-12,2025-06-26,2.0,736.0,51+,M,Friend/Family,MasterCard,Indonesia,61.0,Frequent,Morning,Budget,1350.78,2450.0,117.08,100.0,658.06,9.92,,0.0,0.0
1742,2024-11,"Cairo, Egypt",02/23/2025,2025-03-07,1.0,4323.0,36-50,F,Online Ad,MasterCard,Argentina,38.0,na,Evening,Budget,741.96,780.0,106.26,63.27,889.77,12.85,6.13,1.0,0.0
1743,2022-08,"Reykjavik, Iceland",2022-11-16,2022-11-23,4.0,545.0,18-25,F,Social Media,MasterCard,India,22.0,na,Afternoon,Luxury,2124.05,13440.0,115.96,100.0,1192.14,14.15,,0.0,0.0
1744,2021-11,"Tokyo, Japan",2022-02-12,2022-02-24,2.0,,51+,F,Online Ad,MasterCard,Canada,67.0,Frequent,Afternoon,Standard,1222.14,4896.0,123.31,100.0,809.4,11.95,5.75,1.0,0.0
1745,2023-09,"Barcelona, Spain",2023-11-10,2023-11-24,2.0,4398.0,36-50,F,Social Media,Amex,Canada,49.0,na,Afternoon,Luxury,1579.24,,146.42,100.0,766.01,9.38,5.17,1.0,1.0
1746,2023-01,"Cairo, Egypt",2023-02-05,2023-02-16,1.0,2154.0,36-50,F,Online Ad,MasterCard,UK,47.0,Frequent Traveler,Morning,Standard,710.33,,,67.65,1038.97,13.09,,1.0,0.0
1747,2023-04,"Cape Town, South Africa",2023-05-06,2023-05-10,2.0,3567.0,36-50,M,Online Ad,Visa,Colombia,40.0,na,Evening,Standard,1080.66,1344.0,114.21,100.0,988.45,10.85,9.02,0.0,0.0
1748,2025-09,"Santiago, Chile",2025-12-29,2026-01-01,2.0,2878.0,36-50,F,Friend/Family,MasterCard,India,46.0,frequent,Afternoon,Standard,1149.14,,100.04,84.62,835.06,14.15,7.43,0.0,0.0
1749,2021-04,"Rome, Italy",2021-06-26,2021-07-05,5.0,1843.0,51+,M,Friend/Family,MasterCard,USA,62.0,na,Evening,Budget,2696.55,4162.5,56.21,100.0,763.13,14.36,10.4,1.0,
1750,2022-10,"Bali, Indonesia",2022-11-19,2022-11-29,2.0,2896.0,36-50,F,,Amex,USA,36.0,na,Morning,Budget,1377.33,1500.0,65.91,100.0,1053.26,10.78,4.47,1.0,0.0
1751,2025-12,"Cairo, Egypt",2026-04-19,2026-04-24,8.0,4776.0,51+,M,Online Ad,Amex,Germany,57.0,na,Afternoon,Standard,6270.1,6240.0,141.59,,729.75,31.29,,0.0,0.0
1752,2023-04,"Bali, Indonesia",2023-07-27,2023-08-01,6.0,2332.0,51+,Other,Online Ad,MasterCard,Thailand,66.0,na,Evening,Standard,4449.23,5400.0,108.25,100.0,868.5,20.7,16.91,2.0,0.0
1753,2021-04,"Paris, France",2021-09-26,2021-10-03,2.0,2479.0,36-50,Other,Friend/Family,Visa,Romania,47.0,na,Morning,Budget,796.68,1330.0,85.85,100.0,851.37,6.69,,2.0,1.0
1754,2024-11,"Cape Town, South Africa",2025-01-07,2025-01-18,1.0,1682.0,51+,M,Friend/Family,Visa,Canada,59.0,na,Evening,Standard,734.68,1848.0,124.81,100.0,830.67,12.99,,,0.0
1755,2025-05,"Barcelona, Spain",2025-10-15,2025-10-18,2.0,340.0,51+,F,Online Ad,Discover,Cuba,65.0,na,Afternoon,Standard,1246.07,1296.0,114.71,100.0,620.05,9.59,,2.0,0.0
1756,2025-03,"Reykjavik, Iceland",2025-08-15,2025-08-19,3.0,1981.0,36-50,F,Online Ad,Visa,China,41.0,Frequent Traveler,Morning,Standard,1720.21,2304.0,138.07,100.0,770.03,14.22,6.39,0.0,
1757,2024-12,"Rome, Italy",2025-04-11,2025-04-23,6.0,3511.0,18-25,F,Search Engine,Amex,India,19.0,na,Evening,Standard,3907.54,15984.0,140.43,100.0,844.41,14.36,6.47,,0.0
1758,2022-06,"Rome, Italy",2022-11-10,2022-11-23,6.0,,36-50,M,Online Ad,Visa,Ethiopia,44.0,Frequent Traveler,Morning,Standard,3183.49,17316.0,152.58,100.0,828.06,16.37,9.53,0.0,3.0
1759,2021-12,"Tokyo, Japan",2022-02-15,2022-02-19,1.0,465.0,51+,F,Friend/Family,Discover,South Korea,,na,Evening,Standard,550.35,816.0,114.41,81.53,839.5,10.03,5.47,,0.0
1760,2022-09,"Bali, Indonesia",2022-10-03,2022-10-09,5.0,2219.0,51+,F,Online Ad,Amex,Romania,,Frequent Traveler,Afternoon,Standard,3352.13,5400.0,104.69,100.0,868.88,19.55,19.32,0.0,
1761,2023-07,"Tokyo, Japan",2023-07-31,2023-08-08,3.0,3029.0,36-50,F,,MasterCard,Germany,38.0,Frequent,Afternoon,Budget,1645.99,2040.0,100.94,100.0,820.19,10.49,6.24,0.0,0.0
1762,2025-10,"Lima, Peru",03/28/2026,2026-04-08,6.0,1885.0,51+,M,Search Engine,Amex,USA,65.0,na,Evening,Standard,4089.72,10296.0,118.92,100.0,753.97,23.74,,0.0,
1763,2022-02,"Tokyo, Japan",2022-05-29,2022-06-01,2.0,1502.0,51+,F,Social Media,Visa,Thailand,59.0,na,Evening,Luxury,1103.61,3060.0,150.58,100.0,839.32,12.2,5.78,,0.0
1764,2022-12,"Johannesburg, South Africa",2023-03-30,2023-04-06,5.0,1746.0,51+,M,Friend/Family,MasterCard,Kenya,,Frequent,,Standard,2954.34,5544.0,40.2,100.0,941.02,20.79,,0.0,1.0
1765,2022-04,"Bangkok, Thailand",2022-08-15,2022-08-18,8.0,1762.0,26-35,F,Search Engine,Visa,Canada,26.0,na,Evening,Budget,6074.35,2100.0,79.93,100.0,1135.41,24.45,13.1,1.0,0.0
1766,2021-05,"Paris, France",2021-07-30,2021-08-08,3.0,2424.0,51+,M,,MasterCard,China,51.0,na,Afternoon,,1501.59,,141.6,100.0,799.6,,4.68,0.0,0.0
1767,2024-12,"Barcelona, Spain",2025-04-16,2025-04-19,6.0,4616.0,36-50,F,Search Engine,MasterCard,USA,44.0,frequent,,Standard,2829.68,3888.0,105.99,100.0,,16.52,7.08,0.0,0.0
1768,2022-08,"Bali, Indonesia",2023-01-21,2023-02-01,3.0,902.0,18-25,F,Online Ad,Amex,UK,22.0,na,Evening,Standard,1944.67,5940.0,135.44,100.0,1298.84,12.03,6.25,,0.0
1769,2025-10,"Paris, France",2026-02-23,2026-03-08,7.0,2762.0,26-35,F,Online Ad,,Japan,,na,Afternoon,Standard,3663.95,20748.0,,100.0,735.85,17.79,10.84,0.0,0.0
1770,2023-01,Tokyo ( Japan,2023-06-15,2023-06-29,2.0,4264.0,18-25,M,Online Ad,MasterCard,UK,21.0,Frequent Traveler,Afternoon,Standard,1024.68,5712.0,114.9,100.0,1087.02,,3.45,2.0,
1771,2023-12,"Reykjavik, Iceland",2024-05-21,2024-05-30,1.0,,36-50,M,Online Ad,Visa,China,46.0,na,,Budget,723.4,720.0,114.11,33.97,862.09,9.13,,0.0,0.0
1772,2021-03,"Bangkok, Thailand",2021-03-31,2021-04-03,1.0,975.0,51+,M,Social Media,Visa,Romania,52.0,na,Morning,Standard,484.18,630.0,112.14,58.2,895.72,11.14,,0.0,0.0
1773,2021-07,"Santiago, Chile",2021-09-08,2021-09-21,1.0,982.0,36-50,F,,Visa,France,,na,Morning,Standard,827.89,1996.8,78.51,100.0,1193.93,12.51,5.74,,1.0
1774,2025-01,"Rome, Italy",03/06/2025,2025-03-19,4.0,1876.0,51+,Other,Friend/Family,MasterCard,China,,Frequent,Morning,Budget,1461.01,4810.0,105.83,100.0,575.88,13.25,8.8,0.0,1.0
1775,2021-12,"Reykjavik, Iceland",2022-02-25,2022-03-08,6.0,4530.0,18-25,F,Online Ad,Visa,South Korea,23.0,na,,Budget,3523.43,5280.0,95.25,100.0,1268.04,17.53,10.23,1.0,0.0
1776,2021-01,"Johannesburg, South Africa",04/10/2021,2021-04-15,3.0,2194.0,51+,M,Friend/Family,Visa,USA,,na,Morning,Luxury,1605.12,5940.0,175.27,100.0,1158.19,17.41,13.99,0.0,0.0
1777,2022-12,"Johannesburg, South Africa",2023-03-27,2023-04-04,2.0,1071.0,26-35,M,Online Ad,MasterCard,Vietnam,28.0,V.I.P.,Afternoon,Budget,1480.78,1056.0,97.13,100.0,1323.75,,,,1.0
1778,2023-01,"Tokyo, Japan",2023-04-21,2023-04-25,1.0,2605.0,18-25,M,Friend/Family,Visa,China,20.0,na,Afternoon,Standard,747.38,816.0,94.17,77.38,1097.6,7.98,,,
1779,2025-06,"Lima, Peru",2025-09-17,2025-09-22,3.0,4126.0,26-35,F,,Visa,Greece,30.0,na,Afternoon,,2121.81,2340.0,136.14,100.0,1042.57,15.55,8.53,0.0,0.0
1780,2024-09,"Tokyo, Japan",2024-11-17,2024-11-25,7.0,1611.0,18-25,M,Online Ad,MasterCard,Panama,25.0,na,Morning,Budget,3972.86,4760.0,132.85,100.0,978.75,20.08,8.87,0.0,
1781,2024-07,"Bali, Indonesia",10/30/2024,2024-11-12,3.0,1180.0,26-35,F,Friend/Family,MasterCard,Romania,,na,Evening,Standard,1842.7,7020.0,137.77,100.0,1062.32,12.58,,0.0,0.0
1782,2023-02,"Rome, Italy",2023-07-01,2023-07-08,5.0,,36-50,M,Friend/Family,MasterCard,Poland,45.0,Frequent,Afternoon,Standard,3443.65,7770.0,63.11,100.0,799.07,13.0,7.01,0.0,
1783,2021-09,"New Delhi, India",2021-11-23,2021-12-02,5.0,2985.0,51+,M,Online Ad,Visa,France,67.0,frequent,Evening,Standard,3613.66,7560.0,,100.0,983.37,17.44,16.2,0.0,1.0
1784,2022-08,"Bangkok, Thailand",2022-11-10,2022-11-13,7.0,3510.0,51+,F,Friend/Family,Discover,Austria,51.0,na,Morning,Standard,3487.61,4410.0,118.5,100.0,767.16,21.63,13.41,1.0,0.0
1785,2024-06,"Cape Town, South Africa",2024-08-26,2024-09-02,2.0,312.0,36-50,Other,Friend/Family,Discover,Italy,41.0,Frequent Traveler,Morning,Standard,1486.89,2352.0,118.52,100.0,877.96,14.56,5.92,0.0,
1786,2024-05,"Tokyo, Japan",2024-08-29,2024-09-06,1.0,617.0,36-50,M,Online Ad,,Switzerland,41.0,na,Afternoon,Budget,676.68,680.0,92.02,13.99,777.58,10.94,,,0.0
1787,2024-05,"Tokyo, Japan",2024-07-16,2024-07-28,7.0,4097.0,36-50,M,Other,MasterCard,Thailand,42.0,na,Afternoon,Standard,3754.73,17136.0,64.97,100.0,759.82,20.76,13.61,1.0,0.0
1788,2024-12,New Delhi ( India,02/03/2025,2025-02-08,2.0,1690.0,51+,M,Social Media,Visa,Iceland,52.0,Frequent Traveler,Afternoon,Luxury,1117.38,4200.0,169.71,100.0,838.19,13.99,8.56,0.0,1.0
1789,2022-10,"Cairo, Egypt",2023-02-07,2023-02-21,1.0,2222.0,18-25,F,Online Ad,Visa,Colombia,18.0,na,Evening,Standard,673.24,2184.0,108.44,100.0,1317.55,12.18,3.44,1.0,
1790,2025-04,"New Delhi, India",2025-05-09,2025-05-22,3.0,63.0,51+,M,,Visa,Argentina,52.0,na,Afternoon,Budget,1937.61,2730.0,91.14,100.0,772.86,13.37,12.86,1.0,1.0
1791,2022-02,"Tokyo, Japan",2022-05-11,2022-05-16,,3953.0,51+,M,Search Engine,MasterCard,Greece,51.0,na,Evening,Standard,1365.72,2040.0,139.06,100.0,778.18,8.21,3.24,,0.0
1792,2024-09,"Paris, France",2025-01-29,2025-02-11,5.0,1141.0,26-35,F,,Visa,USA,29.0,na,Evening,Budget,2338.39,6175.0,120.28,100.0,833.7,12.28,4.77,,
1793,2021-02,"New Delhi, India",2021-06-12,2021-06-25,8.0,3916.0,18-25,F,Friend/Family,,Austria,23.0,frequent,Evening,Budget,4250.38,7280.0,86.34,100.0,1484.68,28.06,,,0.0
1794,2021-05,"Marrakech, Morocco",2021-09-06,2021-09-18,1.0,2759.0,36-50,F,Friend/Family,Visa,USA,45.0,frequent,Morning,Standard,727.37,1944.0,125.68,100.0,1180.84,11.71,4.43,0.0,
1795,2022-09,"Rome, Italy",2023-01-14,2023-01-19,2.0,,51+,F,Other,Visa,Colombia,59.0,na,Afternoon,Standard,805.9,2220.0,98.27,100.0,735.65,8.61,4.32,0.0,0.0
1796,2021-08,"Cairo, Egypt",2021-09-19,2021-09-29,6.0,,51+,F,Other,Visa,Morocco,,na,Morning,Standard,4406.29,9360.0,112.71,100.0,1106.68,22.17,16.69,0.0,0.0
1797,2022-12,"New Delhi, India",2023-05-04,2023-05-09,7.0,4638.0,36-50,F,Friend/Family,Visa,UK,46.0,Frequent,Evening,Budget,4657.56,2450.0,105.27,100.0,1036.93,23.24,,0.0,0.0
1798,2023-03,"Barcelona, Spain",2023-08-11,2023-08-20,2.0,541.0,26-35,M,Online Ad,Visa,USA,,na,Morning,Budget,841.16,1620.0,,100.0,,9.45,,1.0,0.0
1799,2021-10,"Barcelona, Spain",2021-11-28,2021-12-04,3.0,,51+,M,Social Media,MasterCard,USA,65.0,Frequent Traveler,Evening,Standard,1882.5,3888.0,147.81,100.0,808.42,10.17,,1.0,0.0
1800,2022-02,Paris;  France,2022-04-08,2022-04-15,3.0,3119.0,18-25,M,Friend/Family,Visa,Greece,21.0,na,Evening,,1627.33,4788.0,113.42,100.0,1034.27,6.06,2.09,0.0,0.0
1801,2022-06,"Tokyo, Japan",2022-09-16,2022-09-24,1.0,675.0,26-35,M,Friend/Family,Amex,South Korea,29.0,VIP,Afternoon,Budget,852.94,680.0,103.47,49.01,1124.06,9.53,3.84,0.0,
1802,2024-10,"Rome, Italy",2025-02-09,2025-02-17,1.0,,26-35,Other,Other,MasterCard,Austria,27.0,Frequent,Afternoon,Standard,495.75,1776.0,105.17,91.9,897.23,6.73,2.71,0.0,0.0
1803,2021-05,"Paris, France",2021-06-23,2021-07-04,5.0,,26-35,M,Search Engine,Visa,UK,30.0,frequent,Morning,Budget,2990.68,5225.0,79.04,100.0,1085.52,11.97,,0.0,0.0
1804,2024-06,"New Delhi, India",2024-10-01,2024-10-09,6.0,1277.0,18-25,M,Social Media,Visa,South Korea,25.0,na,Afternoon,Standard,3310.77,8064.0,112.8,100.0,1115.71,19.0,10.83,0.0,
1805,2021-10,"Tokyo, Japan",2022-01-14,2022-01-26,5.0,248.0,36-50,F,Friend/Family,Visa,Italy,41.0,na,Evening,Budget,2370.69,5100.0,84.06,100.0,989.56,15.88,10.2,0.0,0.0
1806,2022-02,"Rome, Italy",03/29/2022,2022-04-08,6.0,3456.0,18-25,F,Other,MasterCard,Austria,22.0,na,Morning,Standard,3321.61,13320.0,93.6,100.0,1063.66,15.78,,1.0,0.0
1807,2024-03,"Reykjavik, Iceland",2024-04-16,2024-04-25,4.0,2068.0,36-50,M,Online Ad,Visa,Venezuela,47.0,na,Morning,Standard,1859.5,6912.0,118.9,100.0,834.82,14.45,9.21,1.0,0.0
1808,2025-10,"Bali, Indonesia",2026-01-04,2026-01-12,2.0,3715.0,36-50,F,Other,Visa,Panama,50.0,Frequent Traveler,Evening,Budget,1372.02,1200.0,57.92,100.0,719.9,13.03,6.04,0.0,0.0
1809,2025-11,"Paris, France",2026-04-12,2026-04-21,3.0,4873.0,26-35,M,Friend/Family,Amex,USA,,na,Afternoon,Standard,749.67,6156.0,79.83,100.0,708.13,6.6,,0.0,1.0
1810,2022-04,"Tokyo, Japan",2022-05-20,2022-05-25,1.0,1685.0,26-35,F,Search Engine,MasterCard,Greece,30.0,frequent,Morning,Luxury,416.61,2550.0,171.05,100.0,1094.23,8.01,3.77,0.0,0.0
1811,2024-12,"Santiago, Chile",2025-05-22,2025-05-31,8.0,3827.0,36-50,F,Friend/Family,Discover,Brazil,43.0,na,Afternoon,Luxury,6588.7,27648.0,131.67,100.0,882.55,29.02,20.17,1.0,
1812,2021-09,"Paris, France",2022-01-05,2022-01-15,5.0,13.0,36-50,M,Social Media,Visa,USA,41.0,na,Evening,Budget,3104.43,4750.0,94.57,100.0,908.07,13.75,5.91,,0.0
1813,2023-09,"Reykjavik, Iceland",2023-11-25,2023-12-02,2.0,1685.0,26-35,F,Search Engine,MasterCard,Greece,30.0,frequent,Afternoon,Luxury,1280.6,6720.0,131.21,100.0,1044.26,8.87,2.71,,0.0
1814,2021-07,"Johannesburg, South Africa",2021-08-19,2021-08-29,2.0,4382.0,36-50,F,Friend/Family,Amex,Germany,49.0,na,Morning,Standard,1599.72,3168.0,106.14,100.0,1138.4,14.41,,0.0,0.0
1815,2024-10,"New Delhi, India",2024-12-08,2024-12-19,6.0,1408.0,18-25,M,Friend/Family,MasterCard,Colombia,25.0,na,Afternoon,Standard,3692.63,11088.0,125.16,100.0,1086.35,20.62,11.34,,0.0
1816,2022-12,Reykjavik ( Iceland,2023-05-06,2023-05-13,8.0,2977.0,26-35,M,Online Ad,Visa,Germany,34.0,na,Afternoon,Budget,4161.59,4480.0,75.94,100.0,1173.44,26.09,19.86,1.0,0.0
1817,2024-06,Tokyo;  Japan,2024-07-01,2024-07-13,1.0,,51+,M,,Visa,Mexico,58.0,na,Afternoon,Budget,661.22,1020.0,88.13,59.94,628.59,10.8,,,0.0
1818,2022-02,"Rome, Italy",2022-03-10,2022-03-13,,3930.0,51+,F,Online Ad,MasterCard,France,66.0,Frequent,Afternoon,Budget,445.08,277.5,103.2,,825.17,9.14,5.88,1.0,
1819,2023-11,"Santiago, Chile",2024-02-11,2024-02-18,2.0,2736.0,18-25,F,Online Ad,Discover,USA,18.0,frequent,Evening,Standard,1502.77,2150.4,114.91,100.0,1207.53,12.88,,1.0,
1820,2025-03,"Marrakech, Morocco",2025-06-04,2025-06-17,2.0,3968.0,36-50,F,Search Engine,MasterCard,Canada,45.0,na,Evening,Budget,1294.61,1755.0,69.85,100.0,878.1,13.22,,0.0,1.0
1821,2021-08,"Bali, Indonesia",2022-01-18,2022-02-01,7.0,2315.0,18-25,F,Online Ad,MasterCard,USA,22.0,na,Morning,Standard,5331.17,17640.0,140.91,100.0,1358.33,21.55,,0.0,0.0
1822,2025-08,"Tokyo, Japan",2025-10-30,2025-11-10,2.0,1406.0,36-50,F,Social Media,Amex,Germany,41.0,frequent,Afternoon,Standard,881.33,4488.0,157.4,100.0,653.13,9.9,5.01,1.0,0.0
1823,2024-01,"Bangkok, Thailand",05/10/2024,2024-05-15,2.0,3946.0,51+,M,Online Ad,,Canada,,na,Morning,Budget,1082.09,,57.39,89.37,680.19,10.27,4.78,0.0,0.0
1824,2024-05,"New Delhi, India",2024-06-22,2024-06-25,6.0,393.0,36-50,F,Online Ad,MasterCard,Venezuela,49.0,Frequent Traveler,Morning,Budget,3133.18,1260.0,111.94,100.0,883.83,21.04,18.17,2.0,0.0
1825,2021-01,"Marrakech, Morocco",2021-02-28,2021-03-13,4.0,,18-25,F,Online Ad,Visa,Japan,18.0,na,Morning,Budget,2493.61,3510.0,104.07,,1494.8,16.1,,0.0,0.0
1826,2021-04,"Cairo, Egypt",2021-06-04,2021-06-12,5.0,4302.0,51+,F,Social Media,,Indonesia,55.0,na,Morning,Budget,3003.76,2600.0,136.14,100.0,1074.92,20.53,16.64,1.0,0.0
1827,2022-11,"Barcelona, Spain",2022-12-30,2023-01-04,5.0,1084.0,51+,F,Other,Visa,Iceland,68.0,na,Afternoon,Standard,3634.12,5400.0,107.22,100.0,760.64,17.59,,0.0,
1828,2025-09,"Buenos Aires, Argentina",2025-12-28,2026-01-08,2.0,536.0,18-25,M,Friend/Family,Visa,Romania,22.0,Frequent Traveler,,Standard,1529.53,3326.4,112.99,100.0,1097.7,14.53,6.68,1.0,0.0
1829,2025-11,"Tokyo, Japan",2026-01-14,2026-01-22,5.0,1668.0,51+,M,Search Engine,MasterCard,USA,66.0,Frequent Traveler,Evening,,3213.52,8160.0,142.01,100.0,582.91,15.33,11.41,0.0,
1830,2021-07,"Cairo, Egypt",2021-11-03,2021-11-15,3.0,4883.0,51+,F,Search Engine,,Austria,65.0,Frequent Traveler,Afternoon,,2277.88,5616.0,120.94,100.0,1109.15,,9.75,1.0,0.0
1831,2025-06,"New Delhi, India",2025-08-16,2025-08-27,8.0,2858.0,26-35,F,,Visa,USA,35.0,na,Morning,Luxury,5594.58,36960.0,139.19,100.0,798.72,28.72,17.91,0.0,0.0
1832,2025-09,"Marrakech, Morocco",2025-11-04,2025-11-14,5.0,3191.0,51+,F,Social Media,MasterCard,USA,62.0,na,Evening,Budget,3414.93,3375.0,52.47,100.0,754.41,18.97,14.17,2.0,
1833,2024-07,"Tokyo, Japan",2024-10-14,2024-10-26,3.0,2121.0,26-35,M,Friend/Family,Visa,UK,29.0,Frequent Traveler,Morning,Standard,1581.07,7344.0,130.9,100.0,987.7,9.95,3.41,0.0,0.0
1834,2022-04,"Marrakech, Morocco",2022-05-17,2022-05-21,2.0,4571.0,36-50,F,Friend/Family,MasterCard,South Korea,,na,,Luxury,1570.38,3240.0,175.48,100.0,1082.58,13.63,8.7,1.0,
1835,2024-04,"Barcelona, Spain",2024-09-03,2024-09-11,1.0,4583.0,18-25,F,Online Ad,MasterCard,Canada,,frequent,Evening,Standard,606.55,1728.0,144.98,96.85,954.95,8.63,,0.0,1.0
1836,2022-10,Rome ( Italy,2022-11-30,2022-12-12,2.0,905.0,26-35,M,Friend/Family,Visa,Austria,27.0,Frequent,Evening,Standard,1049.74,5328.0,100.47,100.0,1068.13,5.26,1.94,0.0,0.0
1837,2025-07,"Bali, Indonesia",2025-10-19,2025-10-27,1.0,4291.0,51+,M,Social Media,MasterCard,Greece,58.0,Frequent Traveler,Afternoon,Standard,654.71,1440.0,133.41,100.0,,13.71,,0.0,
1838,2022-03,"Bangkok, Thailand",06/29/2022,2022-07-03,1.0,4995.0,18-25,F,Friend/Family,Visa,Mexico,21.0,na,Afternoon,Standard,369.84,840.0,101.44,22.13,1100.59,8.7,2.45,1.0,0.0
